"filename", "language", "Python", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"/home/danush/Documents/CEO_AGENT/ceo_agent/README.md", "Markdown", 0, 144, 0, 0, 0, 54, 198
"/home/danush/Documents/CEO_AGENT/ceo_agent/agent/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/home/danush/Documents/CEO_AGENT/ceo_agent/agent/agent.py", "Python", 265, 0, 0, 0, 9, 26, 300
"/home/danush/Documents/CEO_AGENT/ceo_agent/agent/analytics.py", "Python", 795, 0, 0, 0, 149, 181, 1125
"/home/danush/Documents/CEO_AGENT/ceo_agent/agent/analytics/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/home/danush/Documents/CEO_AGENT/ceo_agent/agent/analytics/executive.py", "Python", 46, 0, 0, 0, 15, 15, 76
"/home/danush/Documents/CEO_AGENT/ceo_agent/agent/analytics/inventory.py", "Python", 19, 0, 0, 0, 5, 6, 30
"/home/danush/Documents/CEO_AGENT/ceo_agent/agent/analytics/marketing.py", "Python", 16, 0, 0, 0, 8, 7, 31
"/home/danush/Documents/CEO_AGENT/ceo_agent/agent/analytics/profit.py", "Python", 65, 0, 0, 0, 17, 22, 104
"/home/danush/Documents/CEO_AGENT/ceo_agent/agent/analytics/sales.py", "Python", 39, 0, 0, 0, 3, 15, 57
"/home/danush/Documents/CEO_AGENT/ceo_agent/agent/core/context.py", "Python", 59, 0, 0, 0, 6, 17, 82
"/home/danush/Documents/CEO_AGENT/ceo_agent/agent/decisions/recommend.py", "Python", 141, 0, 0, 0, 12, 17, 170
"/home/danush/Documents/CEO_AGENT/ceo_agent/agent/reasoning/interpret.py", "Python", 434, 0, 0, 0, 83, 92, 609
"/home/danush/Documents/CEO_AGENT/ceo_agent/agent/tools.py", "Python", 100, 0, 0, 0, 26, 44, 170
"/home/danush/Documents/CEO_AGENT/ceo_agent/data/companies/Nutrain /config.json", "JSON", 0, 0, 0, 117, 0, 0, 117
"/home/danush/Documents/CEO_AGENT/ceo_agent/data/companies/Nutrain /inventory.csv", "CSV", 0, 0, 1159, 0, 0, 1, 1160
"/home/danush/Documents/CEO_AGENT/ceo_agent/data/companies/Nutrain /marketing.csv", "CSV", 0, 0, 1159, 0, 0, 1, 1160
"/home/danush/Documents/CEO_AGENT/ceo_agent/data/companies/Nutrain /sales.csv", "CSV", 0, 0, 13897, 0, 0, 1, 13898
"/home/danush/Documents/CEO_AGENT/ceo_agent/data/companies/Nutrain /unit_economics.csv", "CSV", 0, 0, 4, 0, 0, 1, 5
"/home/danush/Documents/CEO_AGENT/ceo_agent/data/companies/Nutrain/config.json", "JSON", 0, 0, 0, 117, 0, 0, 117
"/home/danush/Documents/CEO_AGENT/ceo_agent/data/companies/Nutrain/inventory.csv", "CSV", 0, 0, 1096, 0, 0, 1, 1097
"/home/danush/Documents/CEO_AGENT/ceo_agent/data/companies/Nutrain/marketing.csv", "CSV", 0, 0, 1096, 0, 0, 1, 1097
"/home/danush/Documents/CEO_AGENT/ceo_agent/data/companies/Nutrain/sales.csv", "CSV", 0, 0, 13141, 0, 0, 1, 13142
"/home/danush/Documents/CEO_AGENT/ceo_agent/data/companies/Nutrain/unit_economics.csv", "CSV", 0, 0, 4, 0, 0, 1, 5
"/home/danush/Documents/CEO_AGENT/ceo_agent/docs/AUTO_v1_system_notes.md", "Markdown", 0, 28, 0, 0, 0, 9, 37
"/home/danush/Documents/CEO_AGENT/ceo_agent/docs/agent/agent.md", "Markdown", 0, 115, 0, 0, 0, 39, 154
"/home/danush/Documents/CEO_AGENT/ceo_agent/docs/agent/analytics.md", "Markdown", 0, 445, 0, 0, 0, 169, 614
"/home/danush/Documents/CEO_AGENT/ceo_agent/docs/agent/core.md", "Markdown", 0, 46, 0, 0, 0, 13, 59
"/home/danush/Documents/CEO_AGENT/ceo_agent/docs/agent/decisions.md", "Markdown", 0, 86, 0, 0, 0, 45, 131
"/home/danush/Documents/CEO_AGENT/ceo_agent/docs/agent/overview.md", "Markdown", 0, 0, 0, 0, 0, 1, 1
"/home/danush/Documents/CEO_AGENT/ceo_agent/docs/agent/reasoning.md", "Markdown", 0, 763, 0, 0, 0, 272, 1035
"/home/danush/Documents/CEO_AGENT/ceo_agent/docs/agent/tools.md", "Markdown", 0, 65, 0, 0, 0, 18, 83
"/home/danush/Documents/CEO_AGENT/ceo_agent/docs/agent/ui.md", "Markdown", 0, 0, 0, 0, 0, 1, 1
"/home/danush/Documents/CEO_AGENT/ceo_agent/docs/case_studies.md", "Markdown", 0, 130, 0, 0, 0, 54, 184
"/home/danush/Documents/CEO_AGENT/ceo_agent/docs/case_studies_goal.md", "Markdown", 0, 83, 0, 0, 0, 66, 149
"/home/danush/Documents/CEO_AGENT/ceo_agent/docs/profit_functions.md", "Markdown", 0, 191, 0, 0, 0, 94, 285
"/home/danush/Documents/CEO_AGENT/ceo_agent/docs/world_design_rules.md", "Markdown", 0, 43, 0, 0, 0, 20, 63
"/home/danush/Documents/CEO_AGENT/ceo_agent/docs/world_generation_flow.md", "Markdown", 0, 71, 0, 0, 0, 13, 84
"/home/danush/Documents/CEO_AGENT/ceo_agent/ui/app.py", "Python", 304, 0, 0, 0, 27, 93, 424
"/home/danush/Documents/CEO_AGENT/ceo_agent/world/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/home/danush/Documents/CEO_AGENT/ceo_agent/world/generate_world.py", "Python", 216, 0, 0, 0, 30, 76, 322
"/home/danush/Documents/CEO_AGENT/ceo_agent/world/world_factory.py", "Python", 46, 0, 0, 0, 11, 20, 77
"Total", "-", 2545, 2210, 31556, 234, 401, 1510, 38456
